PoroId,McmId,SypId
1653441,692083,7495202
1587297,702311,7024313
1587299,702315,7024353
1587301,702319,7024373
1587303,702328,7024433
1587305,702333,7024468
1587307,702336,7024488
1587309,702338,7024508
1587311,702340,7024518
1713770,702349,7024579
1713772,702358,7024630
1587317,702361,7018631
1713774,702373,7024716
1587321,702377,7024772
1587323,689766,6909875
1587325,702382,7024817
1587327,702384,7024832
1587329,702392,7018576
1587331,702402,7024977
1587333,702405,7018656
1587335,702414,7025143
1587337,702418,7025183
1587339,702419,7025193
1587341,702420,7025198
1587343,689767,6909880
1587345,702426,7025244
1587347,702429,7025279
1713776,702438,7025339
1587351,702439,7012115
1587353,702449,7025460
1587355,702454,7025516
1587357,702460,7020450
1587483,702462,7025636
1587485,702463,7025646
1587487,702464,7025656
1587489,702465,7025666
1587491,702466,7025676
1587493,702467,7025686
1587495,702468,7045151
1587497,702469,7025696
1587499,702470,7025706
1587501,702471,7025716
1587503,702472,7025726
1587505,702473,7025736
1587507,702474,7025746
1587509,702475,7025761
1587511,702476,7025771
1587513,702477,7025781
1587515,702478,7025791
1587517,702479,7025801
1587519,702480,7025811
1587521,702481,7025821
1587523,702482,7025831
1587525,702483,7045161
1587527,702484,7045171
1713778,702485,6909886
1713780,702486,6909891
1587529,702487,7025861
1587531,702488,6910155
1587533,702489,7025876
1587535,702490,7025891
1587537,702491,7025906
1587539,702492,7025916
1587541,702493,7025931
1587543,702494,7025941
1587363,702495,7042662
1587365,702496,7018686
1587367,702497,7041435
1587369,702498,7041481
1587371,702499,7041486
1587373,702500,7041491
1587375,702501,7041496
1587377,702502,7041501
1587379,702503,7020460
1587381,702504,7041506
1587383,702505,7041511
1587385,702506,7041516
1587387,702507,7041521
1587389,702508,7041526
1587391,702509,7020595
1587393,702510,7041531
1587395,702511,7041536
1587397,702512,7039290
1587399,702513,7041541
1587401,702514,7041546
1587403,702515,7041551
1587405,702516,7041556
1587407,702517,7041561
1587409,702518,7041566
1587411,702519,7041571
1587413,702520,7041576
1587415,702521,7041581
1587417,702522,7041586
1587419,702523,7041591
1587421,702524,7041596
1587423,702525,7041601
1587425,702526,7041606
1587427,702527,7041611
1587429,702528,7041616
1587431,702529,7041621
1587433,702530,7041626
1587435,702531,7041631
1587437,702532,7041636
1587439,702533,7041641
1587441,702534,7041646
1587443,702535,7041651
1587445,702536,7041656
1587447,702537,7041661
1587449,702538,7020915
1587451,702539,7020905
1587453,702540,7013030
1587455,702541,7018691
1587457,702542,7042647
1587459,702543,7041414
1587461,702544,7042652
1587463,702545,7042657
1587465,702546,7042642
1587467,702547,7020465
1587469,702548,7041403
1587471,702549,7041409
1587473,702550,7041419
1587475,702551,7042682
1587477,702552,7042677
1587479,702553,7042672
1587481,702554,7042667
1587596,702311,7026511
1587552,702319,7026571
1587638,702333,7026646
1587554,702336,7026656
1587640,702338,7026666
1587628,702348,7026711
1587566,702356,7026746
1587610,702372,7026811
1587600,702377,7026831
1587594,702392,7018581
1587580,702402,7026946
1587550,702405,7018661
1587578,702414,7025148
1587592,702418,7025188
1587651,702420,7025203
1587590,702429,7025284
1587632,702437,7025344
1587582,702449,7025465
1587562,702460,7020455
1587556,702462,7025641
1587558,702463,7025651
1587560,702464,7025661
1587564,702465,7025671
1587568,702466,7025681
1587570,702467,7025691
1587572,702468,7045156
1587574,702469,7025701
1587576,702470,7025711
1587584,702471,7025721
1587586,702472,7025731
1587588,702473,7025741
1587598,702474,7025751
1587602,702475,7025766
1587604,702476,7025776
1587606,702477,7025786
1587608,702478,7025796
1587612,702479,7025806
1587614,702480,7025816
1587616,702481,7025826
1587618,702482,7025836
1587620,702483,7045166
1587622,702484,7045176
1587624,689768,7045181
1587626,689769,7045186
1587630,702487,7025866
1587634,702488,6910160
1587636,702489,7025886
1587642,702490,7025896
1587644,702491,7025911
1587646,702492,7025921
1587648,702493,7025936
1595863,715475,7158213
1595865,715477,7158223
1595867,715483,7158253
1595869,715488,7158273
1595871,715494,7158303
1595873,715500,7158333
1595875,715506,7158363
1595877,715511,7158383
1595879,715514,7158398
1595881,715517,7158413
1595883,715527,7158458
1595885,715531,7158478
1595887,715535,7158498
1595889,715536,7158503
1595891,715538,7158513
1595893,715546,7158553
1595895,715551,7158578
1595897,715554,7158593
1595899,715559,7158648
1595901,715561,7158658
1595903,715564,7158683
1595905,715568,7158703
1595907,715572,7158723
1595909,715573,7158728
1595911,715574,7158733
1595913,715580,7158763
1595915,715588,7158803
1595917,715592,7158823
1595919,715598,7158853
1595921,715601,7158873
1595923,715602,7158878
1595925,715605,7159658
1595927,715609,7159848
1595929,715610,7159913
1595931,715611,7160138
1595933,715615,7160223
1595935,715625,7159018
1595937,715626,7159078
1595939,715628,7159138
1595941,715637,7159458
1595943,715644,7159673
1596119,715646,7158868
1596121,715648,7158888
1596123,715649,7158893
1596125,715650,7158898
1596127,715651,7158903
1596129,715652,7158908
1596131,715653,7158913
1596133,715654,7158918
1596135,715655,7158923
1596137,715656,7158928
1596139,715657,7158933
1596141,715658,7158938
1596143,715659,7158943
1596145,715660,7158948
1596147,715661,7158953
1596149,715662,7158958
1596151,715663,7158963
1596153,715664,7158978
1596155,715665,7158983
1596157,715666,7158988
1596159,715667,7158993
1596161,715668,7159008
1595947,715669,7159963
1595949,715670,7159968
1595951,715671,7159973
1595953,715672,7159978
1595955,715673,7159983
1595957,715674,7159988
1595959,715675,7159993
1595961,715676,7159998
1595963,715677,7160003
1595965,715678,7160008
1595967,715679,7160013
1595969,715680,7160018
1595971,715681,7160023
1595973,715682,7160028
1595975,715683,7160033
1595977,715684,7160038
1595979,715685,7160043
1595981,715686,7160048
1595983,715687,7160053
1595985,715688,7160058
1595987,715689,7160063
1595989,715690,7160068
1595991,715691,7160073
1595993,715692,7160078
1595995,715693,7160083
1595997,715694,7160088
1595999,715695,7160093
1596001,715696,7160098
1596003,715697,7160103
1596005,715698,7160108
1596007,715699,7160113
1596009,715700,7160118
1596011,715701,7160123
1596013,715702,7160128
1596015,715703,7160133
1596017,715704,7160148
1596019,715705,7160153
1596021,715706,7160168
1596023,715707,7160173
1596025,715708,7160188
1596027,715709,7160193
1596029,715710,7160198
1596031,715711,7160203
1596033,715712,7160218
1596035,715713,7160233
1596037,715714,7160238
1596039,715715,7160253
1596041,715716,7160268
1596043,715717,7160273
1596045,715718,7160278
1596047,715719,7160283
1596049,715720,7160288
1596051,715721,7160303
1596053,715722,7160308
1596055,715723,7160353
1596057,715724,7160358
1596059,715725,7160363
1596061,715726,7160368
1596063,715727,7160373
1596065,715728,7160378
1596067,715729,7160383
1596069,715730,7160388
1596071,715731,7160409
1596073,715732,7160414
1596075,715733,7160419
1596077,715734,7160424
1596079,715735,7160429
1596081,715736,7160434
1596083,715737,7160439
1596085,715738,7160444
1596087,715739,7160454
1596089,715740,7160459
1596091,715741,7160464
1596093,715742,7160469
1596095,715743,7160474
1596097,715744,7160479
1596099,715745,7160489
1596101,715746,7160494
1596103,715747,7160499
1596105,715748,7160504
1596107,715749,7160509
1596109,715750,7160514
1596111,715751,7160519
1596113,715752,7160529
1596115,715753,7160534
1596117,715754,7160539
1596173,715475,7159033
1596175,715483,7159068
1596177,715494,7159133
1596179,715506,7159278
1596181,715517,7159388
1596183,715531,7159488
1596185,715535,7159528
1596187,715546,7159603
1596189,715551,7159648
1596191,715559,7159693
1596193,715564,7159733
1596195,715572,7159778
1596197,715573,7159783
1596199,715574,7159788
1596201,715580,7159828
1596203,715588,7159213
1596205,715598,7159308
1596207,715601,7159333
1596209,715609,7159853
1596211,715610,7159918
1596213,715611,7160143
1596215,715615,7160228
1596217,715626,7159083
1596219,715637,7159463
1596221,715646,7159833
1596223,715647,7159838
1596225,715648,7159843
1596227,715649,7159858
1596229,715650,7159863
1596231,715651,7159868
1596233,715652,7159873
1596235,715653,7159878
1596237,715654,7159883
1596239,715655,7159888
1596241,715656,7159893
1596243,715657,7159898
1596245,715658,7159903
1596247,715659,7159908
1596249,715660,7159923
