CardId,McmId,TcgplayerProductId,34410
1,692086,,
2,692077,,
3,692083,523640,
4,692078,,
5,692084,,
6,692401,,
7,692081,,
8,692085,,
9,692403,,
10,692082,,
11,702298,487828,
12,702299,487831,
13,702300,487832,
14,702301,487833,
15,702302,487834,
16,702303,487836,
17,702304,487838,
18,702305,487839,
19,702306,487840,
20,702307,487842,
21,702308,487053,
22,702309,487843,
23,691000,475417,
24,689763,475417,
25,702310,487846,
26,702311,487848,
27,702312,487851,
28,702313,487854,
29,702314,487855,
30,702315,487856,
31,702316,487857,
32,702317,487858,
33,702318,487859,
34,702319,487860,
35,702320,487861,
36,702321,487862,
37,702322,487864,
38,702323,487866,
39,702324,487867,
40,702325,487868,
41,702326,487869,
42,702327,487870,
43,702328,487872,
44,702329,487873,
45,702330,487874,
46,702331,487875,
47,691001,475418,
48,689764,475418,
49,702332,487877,
50,702333,487879,
51,702334,487881,
52,702335,487882,
53,702336,487883,
54,702337,487885,
55,702338,487887,
56,702339,487888,
57,702340,487889,
58,702341,487891,
59,702342,487893,
60,702343,487894,
61,702344,487895,
62,702345,487897,
63,702346,487898,
64,689765,475419,
65,691002,475419,
66,702347,487899,
67,702348,487902,
68,702349,487902,
69,702350,487903,
70,702351,487905,
71,702352,487906,
72,702353,487908,
73,702354,487910,
74,702355,487912,
75,702358,487913,
76,702356,487913,
77,702357,487914,
78,702359,487916,
79,702360,487917,
80,702361,486612,
81,702362,487919,
82,702363,487920,
83,702364,487922,
84,702365,487923,
85,702366,487924,
86,703190,487924,
87,702367,487925,
88,702368,487926,
89,702369,487927,
90,702370,487929,
91,702371,487930,
92,702372,487931,
93,702373,487931,
94,702374,487932,
95,702375,487933,
96,702376,487935,
97,702377,487942,
98,689766,475420,
99,690998,475420,
100,702378,487944,
101,702379,487946,
102,702380,487948,
103,702381,487949,
104,702382,487951,
105,702383,487952,
106,702384,487954,
107,702385,487955,
108,702386,487956,
109,702387,487958,
110,702388,487959,
111,702389,487960,
112,702390,487961,
113,702391,487054,
114,702392,486602,
115,702393,487968,
116,702394,487969,
117,702395,487971,
118,702396,487973,
119,702397,487975,
120,702398,487976,
121,702399,487978,
122,702400,487980,
123,701132,487981,
124,702401,487981,
125,702402,487983,
126,702403,487993,
127,702404,487994,
128,702405,486617,
129,702406,487999,
130,702407,488000,
131,702408,488001,
132,702409,488002,
133,702410,488003,
134,702411,488004,
135,702412,488005,
136,702413,488006,
137,702414,488007,
138,702415,488008,
139,702416,488009,
140,702417,488010,
141,702418,488011,
142,702419,488012,
143,702420,488013,
144,689767,475421,
145,690999,475421,
146,702421,487055,
147,702422,488015,
148,702423,488016,
149,702424,488017,
150,702425,487056,
151,702426,488019,
152,702427,488021,
153,702428,488023,
154,702429,488024,
155,702430,488025,
156,702431,485867,
157,702432,485871,
158,702433,488026,
159,702434,488027,
160,702435,488028,
161,702436,488029,
162,702437,488030,
163,702438,488030,
164,702439,485106,
165,702440,488031,
166,702441,488033,
167,702442,488035,
168,702443,488036,
169,702444,488037,
170,702445,488038,
171,702446,488040,
172,702447,488041,
173,702448,488043,
174,702449,488045,
175,702450,488048,
176,703414,488048,
177,703199,488048,
178,692087,485108,
179,702451,485108,
180,702452,488050,
181,702453,488052,
182,702454,488053,
183,702455,488054,
184,702456,488056,
185,702457,488057,
186,702458,488058,
187,702459,488059,
188,702460,487059,
189,702461,488060,
190,702462,488071,
191,702463,488072,
192,702464,488073,
193,702465,488074,
194,702466,488075,
195,702467,488076,
196,702468,488077,
197,702469,488078,
198,702470,488079,
199,702471,488080,
200,702472,488081,
201,702473,488082,
202,702474,488083,
203,702475,488085,
204,702476,488086,
205,702477,488087,
206,702478,488088,
207,702479,488089,
208,702480,488090,
209,702481,488091,
210,702482,488092,
211,702483,488093,
212,702484,488094,
213,702485,475423,
214,689768,475423,
215,702486,475424,
216,689769,475424,
217,702487,488098,
218,702488,475443,
219,702489,488100,
220,702490,488102,
221,702491,488104,
222,702492,488105,
223,702493,488107,
224,702494,488108,
225,702495,490293,
226,702496,486622,
227,702497,490049,
228,702498,490062,
229,702499,490063,
230,702500,490064,
231,702501,490066,
232,702502,490067,
233,702503,487060,
234,702504,490068,
235,702505,490069,
236,702506,490070,
237,702507,490071,
238,702508,490072,
239,702509,487086,
240,702510,490073,
241,702511,490074,
242,702512,489631,
243,702513,490075,
244,702514,490076,
245,702515,490077,
246,702516,490078,
247,702517,490079,
248,702518,490080,
249,702519,490081,
250,702520,490082,
251,702521,490083,
252,702522,490084,
253,702523,490085,
254,702524,490086,
255,702525,490087,
256,702526,490088,
257,702527,490089,
258,702528,490090,
259,702529,490091,
260,702530,490092,
261,702531,490093,
262,702532,490094,
263,702533,490095,
264,702534,490096,
265,702535,490097,
266,702536,490098,
267,702537,490099,
268,702538,487149,
269,702539,487147,
270,702540,485259,
271,702541,486623,
272,702542,490290,
273,702543,490044,
274,702544,490291,
275,702545,490292,
276,702546,490289,
277,702547,487061,
278,702548,490041,
279,702549,490043,
280,702550,490045,
281,702551,490297,
282,702552,490296,
283,702553,490295,
284,702554,490294,
286,702311,487848,
287,702319,487860,
288,702333,487879,
289,702336,487883,
290,702338,487887,
291,702348,487902,
292,702356,487913,
293,702372,487931,
294,702377,487942,
295,702392,486602,
296,702402,487983,
297,702405,486617,
298,702414,488007,
299,702418,488011,
300,702420,488013,
301,702429,488024,
302,702437,488030,
303,702449,488045,
304,702460,487059,
305,702462,488071,
306,702463,488072,
307,702464,488073,
308,702465,488074,
309,702466,488075,
310,702467,488076,
311,702468,488077,
312,702469,488078,
313,702470,488079,
314,702471,488080,
315,702472,488081,
316,702473,488082,
317,702474,488083,
318,702475,488085,
319,702476,488086,
320,702477,488087,
321,702478,488088,
322,702479,488089,
323,702480,488090,
324,702481,488091,
325,702482,488092,
326,702483,488093,
327,702484,488094,
328,689768,475423,
329,689769,475424,
330,702487,488098,
331,702488,475443,
332,702489,488100,
333,702490,488102,
334,702491,488104,
335,702492,488105,
336,702493,488107,
337,702494,488108,
338,703151,,
339,703157,,
340,703148,,
341,703152,,
342,703158,,
343,703149,,
344,703153,,
345,703150,,
346,703154,,
347,703147,,
348,715473,497412,
349,715474,497413,
350,715475,497414,
351,715476,497415,
352,715477,497416,
353,715478,497417,
354,715479,497418,
355,715480,497419,
356,715481,497420,
357,715482,497421,
358,715483,497422,
359,715484,497423,
360,715485,497424,
361,715486,497424,
362,715487,497425,
363,715488,497426,
364,715489,497427,
365,715490,497428,
366,715491,497429,
367,715492,497430,
368,715493,497431,
369,715494,497432,
370,715495,497433,
371,715496,497434,
372,715497,497435,
373,715498,497436,
374,715499,497437,
375,715500,497438,
376,715501,497439,
377,715502,497440,
378,715503,497442,
379,715504,498857,
380,715505,497443,
381,715506,497444,
382,715508,497445,
383,715507,497445,
384,715509,497446,
385,715510,497447,
386,715511,497448,
387,715512,497449,
388,715513,497450,
389,715514,497451,
390,715515,497452,
391,715516,497453,
392,715517,497454,
393,715518,497455,
394,715519,497456,
395,715520,497457,
396,715521,497458,
397,715522,497459,
398,715523,497460,
399,715524,497461,
400,715525,497461,
401,715526,497462,
402,715527,497463,
403,715528,497464,
404,715529,497465,
405,715530,497466,
406,715531,497467,
407,715532,497468,
408,715533,497469,
409,715534,497470,
410,715535,497471,
411,715536,497472,
412,715537,497473,
413,715538,497474,
414,715539,497475,
415,715540,497476,
416,715541,497477,
417,715542,497478,
418,715543,497479,
419,715544,497480,
420,715545,497481,
421,715546,497482,
422,715547,497483,
423,715548,497484,
424,715549,497485,
425,715550,497486,
426,715551,497487,
427,715552,497488,
428,715553,497489,
429,715554,497490,
430,715555,497491,
431,715556,497492,
432,715557,497493,
433,715558,497496,
434,715559,497498,
435,715560,497499,
436,715561,497500,
437,715562,497501,
438,715563,497502,
439,715564,497504,
440,715565,497505,
441,715566,497506,
442,715567,497507,
443,715568,497508,
444,715569,497509,
445,715570,497510,
446,715571,497511,
447,715572,497512,
448,715573,497513,
449,715574,497514,
450,715575,497515,
451,715576,497516,
452,715577,497517,
453,715578,497518,
454,715579,497519,
455,715580,497520,
456,715581,497521,
457,709537,497521,
458,709538,497522,
459,715582,497522,
460,715583,497523,
461,715584,497524,
462,715585,497525,
463,715586,497526,
464,715587,497527,
465,715588,497528,
466,715589,497529,
467,715590,497530,
468,715591,497531,
469,715592,497532,
470,715593,497533,
471,715594,497534,
472,715595,497535,
473,715596,497536,
474,715597,497537,
475,715598,497538,
476,715599,497539,
477,715600,497540,
478,715601,497542,
479,715602,497543,
480,715603,497581,
481,715604,497586,
482,715605,497589,
483,715606,497592,
484,715607,497593,
485,715608,497594,
486,715609,497595,
487,715610,497596,
488,715611,497632,
489,715612,497635,
490,715613,497638,
491,715614,497643,
492,715615,497645,
493,715616,497648,
494,715617,497650,
495,715618,497656,
496,715619,497659,
497,715620,497660,
498,715621,497661,
499,715622,497662,
500,715623,497561,
501,715624,497566,
502,715625,497568,
503,715626,497569,
504,715627,497570,
505,715628,497571,
506,715629,497572,
507,715630,497573,
508,715631,497574,
509,715632,497575,
510,715633,497576,
511,715634,497577,
512,715635,497578,
513,715636,497579,
514,715637,497580,
515,715638,497582,
516,715639,497583,
517,715640,497584,
518,715641,497585,
519,715642,497587,
520,715643,497588,
521,715644,497590,
522,715645,497591,
523,715646,497541,
524,715647,497544,
525,715648,497545,
526,715649,497546,
527,715650,497547,
528,715651,497548,
529,715652,497549,
530,715653,497550,
531,715654,497551,
532,715655,497552,
533,715656,497553,
534,715657,497554,
535,715658,497555,
536,715659,497556,
537,715660,497557,
538,715661,497558,
539,715662,497559,
540,715663,497560,
541,715664,497562,
542,715665,497563,
543,715666,497564,
544,715667,497565,
545,715668,497567,
546,715669,497597,
547,715670,497598,
548,715671,497599,
549,715672,497600,
550,715673,497601,
551,715674,497602,
552,715675,497603,
553,715676,497604,
554,715677,497605,
555,715678,497606,
556,715679,497607,
557,715680,497608,
558,715681,497609,
559,715682,497610,
560,715683,497611,
561,715684,497612,
562,715685,497613,
563,715686,497614,
564,715687,497615,
565,715688,497616,
566,715689,497617,
567,715690,497618,
568,715691,497619,
569,715692,497620,
570,715693,497621,
571,715694,497622,
572,715695,497623,
573,715696,497624,
574,715697,497625,
575,715698,497626,
576,715699,497627,
577,715700,497628,
578,715701,497629,
579,715702,497630,
580,715703,497631,
581,715704,497633,
582,715705,497634,
583,715706,497636,
584,715707,497637,
585,715708,497639,
586,715709,497640,
587,715710,497641,
588,715711,497642,
589,715712,497644,
590,715713,497646,
591,715714,497647,
592,715715,497649,
593,715716,497651,
594,715717,497652,
595,715718,497653,
596,715719,497654,
597,715720,497655,
598,715721,497657,
599,715722,497658,
600,715723,497663,
601,715724,497664,
602,715725,497665,
603,715726,497666,
604,715727,497667,
605,715728,497668,
606,715729,497669,
607,715730,497670,
608,715731,497675,
609,715732,497676,
610,715733,497677,
611,715734,497678,
612,715735,497679,
613,715736,497680,
614,715737,497681,
615,715738,497682,
616,715739,497684,
617,715740,497685,
618,715741,497686,
619,715742,497687,
620,715743,497688,
621,715744,497689,
622,715745,497691,
623,715746,497692,
624,715747,497693,
625,715748,497694,
626,715749,497695,
627,715750,497696,
628,715751,497697,
629,715752,497699,
630,715753,497700,
631,715754,497701,
632,715475,497414,
633,715483,497422,
634,715494,497432,
635,715506,497444,
636,715517,497454,
637,715531,497467,
638,715535,497471,
639,715546,497482,
640,715551,497487,
641,715559,497498,
642,715564,497504,
643,715572,497512,
644,715573,497513,
645,715574,497514,
646,715580,497520,
647,715588,497528,
648,715598,497538,
649,715601,497542,
650,715609,497595,
651,715610,497596,
652,715611,497632,
653,715615,497645,
654,715626,497569,
655,715637,497580,
656,715646,497541,
657,715647,497544,
658,715648,497545,
659,715649,497546,
660,715650,497547,
661,715651,497548,
662,715652,497549,
663,715653,497550,
664,715654,497551,
665,715655,497552,
666,715656,497553,
667,715657,497554,
668,715658,497555,
669,715659,497556,
670,715660,497557,
671,715661,497558,
672,715662,497559,
673,715663,497560,
674,715664,497562,
675,715665,497563,
676,715666,497564,
677,715667,497565,
678,715668,497567,
679,715761,,
680,715765,,
681,720947,,
682,715762,,
683,715766,,
684,715763,,
685,715767,,
686,715760,,
687,715764,,
688,715768,,
689,725081,509637,
690,725082,509653,
691,725083,509654,
692,725084,509655,
693,725085,509657,
694,725086,509658,
695,725087,509660,
696,725088,509662,
697,725089,509665,
698,725090,509700,
699,725091,509671,
700,725092,509672,
701,725093,509692,
702,725094,509705,
703,725095,509719,
704,725096,509734,
705,725097,509748,
706,725098,509751,
707,725099,509754,
708,725100,509757,
709,725101,509762,
710,725102,509767,
711,725103,509771,
712,725104,510900,
713,725105,509776,
714,725106,509703,
715,725107,509708,
716,725108,509717,
717,725109,509724,
718,725110,509725,
719,725111,509726,
720,725112,509728,
721,725113,509731,
722,725114,509733,
723,725115,509735,
724,725116,509737,
725,725117,509739,
726,725118,509742,
727,725119,509744,
728,725120,509746,
729,725121,509747,
730,725122,509753,
731,725123,509755,
732,725124,509756,
733,725125,509761,
734,725126,509763,
735,725127,509770,
736,725128,509772,
737,725129,509774,
738,725130,509775,
739,725131,509794,
740,725132,509796,
741,725133,509798,
742,725134,509800,
743,725135,509802,
744,725136,509803,
745,725137,509805,
746,725138,509807,
747,725139,509810,
748,725140,509812,
749,725141,509816,
750,725142,509819,
751,725143,509823,
752,725144,509826,
753,725145,509829,
754,725146,509831,
755,725147,509832,
756,725148,509834,
757,725149,509835,
758,725150,509837,
759,725151,509841,
760,725152,509844,
761,725153,509846,
762,725154,509850,
763,725155,509851,
764,725156,509853,
765,725157,509858,
766,725158,509862,
767,725159,509864,
768,725160,509809,
769,725161,509811,
770,725162,509821,
771,725163,509825,
772,725164,509833,
773,725165,509840,
774,725166,509848,
775,725167,,
776,725168,509860,
777,725169,511758,
778,725170,509863,
779,725171,509867,
780,725172,509871,
781,725173,509872,
782,725174,509876,
783,725175,509924,
784,725176,509926,
785,725177,509930,
786,725178,509931,
787,725179,,
788,725180,509947,
789,725181,509953,
790,725182,509958,
791,725183,509790,
792,725184,509791,
793,725185,509792,
794,725186,509793,
795,725187,509795,
796,725188,509797,
797,725189,509801,
798,725190,509804,
799,725191,509808,
800,725192,509814,
801,725193,509836,
802,725194,509839,
803,725195,509842,
804,725196,509856,
805,725197,509865,
806,725198,509866,
807,725199,509868,
808,725200,509869,
809,725201,509873,
810,725202,509875,
811,725203,509877,
812,725204,509878,
813,725205,509879,
814,725206,509880,
815,725207,509883,
816,725208,509884,
817,725209,,
818,725210,509888,
819,725211,509890,
820,725212,509891,
821,725213,509893,
822,725214,509894,
823,725215,509898,
824,725216,509900,
825,725217,509901,
826,725218,509909,
827,725219,509911,
828,725220,509912,
829,725221,509919,
830,725222,509920,
831,725223,509922,
832,725224,509928,
833,725225,509929,
834,725226,509932,
835,725227,509934,
836,725228,509935,
837,725229,509936,
838,725230,509937,
839,725231,509938,
840,725232,509939,
841,725233,509940,
842,725234,509941,
843,725235,509942,
844,725236,509943,
845,725237,509636,
846,725238,509644,
847,725239,509646,
848,725240,509663,
849,725241,509664,
850,725242,509666,
851,725243,509669,
852,725244,509670,
853,725245,509673,
854,725246,509689,
855,725247,509690,
856,725248,509696,
857,725249,509698,
858,725250,509707,
859,725251,509711,
860,725252,509713,
861,725253,509714,
862,725254,509718,
863,725255,509727,
864,725256,509729,
865,725257,509730,
866,725258,509732,
867,725259,509759,
868,725260,509760,
869,725261,509764,
870,725262,509766,
871,725263,509769,
872,725264,509773,
873,725265,510901,
874,725266,509778,
875,725267,509779,
876,725268,509780,
877,725269,509781,
878,725270,509782,
879,725271,509783,
880,725272,509784,
881,725273,509785,
882,725274,509786,
883,725275,509787,
884,725276,509788,
885,725277,510898,
886,725278,509944,
887,725279,509945,
888,725280,509946,
889,725281,509948,
890,725282,509949,
891,725283,509950,
892,725284,509951,
893,725285,509952,
894,725286,509954,
895,725287,509955,
896,725288,509956,
897,725289,509957,
898,725290,509959,
899,725291,509960,
900,725292,509961,
901,725293,509962,
902,725295,509964,
903,725294,509963,
904,725296,509965,
905,725297,509966,
906,725298,509967,
907,725299,509970,
908,725300,509973,
909,725301,509975,
910,725302,509979,
911,725303,509980,
912,725304,509982,
913,725305,509983,
914,725306,509986,
915,725307,509987,
916,725308,509989,
917,725309,509990,
918,725310,509992,
919,725266,509778,
920,725267,509779,
921,725106,509703,
922,725107,509708,
923,725175,509924,
924,725216,509900,
925,725246,509689,
926,725110,509725,
927,725166,509848,
928,725268,509780,
929,725269,509781,
930,725270,509782,
931,725142,509819,
932,725271,509783,
933,725272,509784,
934,725273,509785,
935,725274,509786,
936,725221,509919,
937,725105,509776,
938,725275,509787,
939,725150,509837,
940,725165,509840,
941,725276,509788,
942,725152,509844,
943,725210,509888,
944,725277,510898,
945,720375,,
946,720368,,
947,720372,,
948,720369,,
949,720373,,
950,720370,,
951,720374,,
952,720371,,
953,720365,502552,
954,733596,502552,
955,733597,502553,
956,733598,502554,
957,733599,502555,
958,720366,502555,
959,733600,502557,
960,733601,502558,
961,733602,502548,
962,721198,502548,
963,733603,502550,
964,733604,502551,
965,733605,502559,
966,733606,502560,
967,733607,502561,
968,733608,502562,
969,733609,502563,
970,733610,502564,
971,733611,502565,
972,733612,502566,
973,733613,502567,
974,733614,502568,
975,733615,502569,
976,733616,502587,
977,733617,502589,
978,733618,515955,
979,733619,515956,
980,733620,517033,
981,733621,515957,
982,733622,515978,
983,733623,515989,
984,733624,515994,
985,733625,516000,
986,733626,516004,
987,733627,516006,
988,733628,516016,
989,733629,516024,
990,733630,516030,
991,733631,516036,
992,733632,516060,
993,733633,516072,
994,733634,516108,
995,733635,516145,
996,733636,516150,
997,733637,516152,
998,733638,516156,
999,733639,516157,
1000,733640,516159,
1001,733641,516163,
1002,733642,516170,
1003,733643,516206,
1004,733644,516213,
1005,733645,516215,
1006,733646,516216,
1007,733647,516221,
1008,733648,516223,
1009,733649,516231,
1010,733650,516232,
1011,733651,516242,
1012,733652,516246,
1013,733653,516247,
1014,733654,516248,
1015,733655,516249,
1016,733656,516250,
1017,733657,516251,
1018,733658,516268,
1019,720396,516268,
1020,733659,516269,
1021,720397,516269,
1022,733660,516381,
1023,733661,516382,
1024,733662,516383,
1025,733663,516385,
1026,733664,516560,
1027,733665,516563,
1028,733666,516564,
1029,733667,516565,
1030,733668,516567,
1031,733669,516569,
1032,733670,516572,
1033,733671,516574,
1034,733672,516601,
1035,733673,516607,
1036,733674,516650,
1037,733675,516651,
1038,733676,516648,
1039,733677,516649,
1040,733678,516652,
1041,733679,516653,
1042,733680,516654,
1043,733681,516655,
1044,733682,516656,
1045,733683,516657,
1046,733684,516658,
1047,733685,516659,
1048,733686,516660,
1049,733687,516661,
1050,733688,516662,
1051,733689,516663,
1052,733690,516664,
1053,733691,516665,
1054,733692,516666,
1055,733693,516667,
1056,733694,516668,
1057,733695,516669,
1058,733696,516670,
1059,733697,516671,
1060,733698,516672,
1061,733699,516673,
1062,733700,516674,
1063,733701,516675,
1064,733702,516676,
1065,733703,516677,
1066,733704,516679,
1067,733705,516680,
1068,733706,516570,
1069,733707,516573,
1070,733708,516575,
1071,733709,516579,
1072,733710,516581,
1073,733711,516583,
1074,733712,516584,
1075,733713,516681,
1076,733714,516682,
1077,733715,516683,
1078,733716,516684,
1079,733717,516685,
1080,733718,516686,
